code,region_l2,division,River flood,Urban flood,Coastal flood,Earthquake,Landslide,Tsunami,Volcano,Cyclone,Water scarcity,Extreme heat,Wildfire,Data_Type,Synthetic_Seed_Code
72846,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,,Medium,Very low,,Original,
72807,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Low,Very low,,Original,
72803,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Low,Very low,,Original,
72796,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Low,Very low,,Original,
72792,Administrative unit not available,Administrative unit not available,Very low,,,,Very low,,,,Low,,,Original,
72819,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,Very low,Low,Very low,,Original,
72824,Administrative unit not available,Administrative unit not available,Low,,,,High,,,,Low,,,Original,
72827,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,Very low,Medium,Very low,,Original,
72823,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,,Low,,,Original,
72832,Administrative unit not available,Administrative unit not available,Very low,,,,Very low,,,,Low,,,Original,
72800,Administrative unit not available,Administrative unit not available,High,,,Medium,Medium,,,,Low,Low,,Original,
72821,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,,Low,Very low,,Original,
72809,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,Very low,Medium,Low,,Original,
72830,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,,Low,Very low,,Original,
72842,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,,Low,Low,,Original,
72816,Administrative unit not available,Administrative unit not available,Very low,,,,High,,,,Low,,,Original,
72820,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Low,Low,,Original,
72780,Administrative unit not available,Administrative unit not available,Low,,,Medium,High,,,Very low,High,High,,Original,
72805,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,Very low,Low,Very low,,Original,
72797,Administrative unit not available,Administrative unit not available,Very low,,,,,,,,Low,,,Original,
72779,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,,Medium,Very low,,Original,
72814,Administrative unit not available,Administrative unit not available,High,,,Medium,Medium,,,Very low,Low,Low,,Original,
72782,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,,Low,Low,,Original,
72829,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Low,Very low,,Original,
72839,Administrative unit not available,Administrative unit not available,Very low,,,,High,,,,Low,,,Original,
72781,Administrative unit not available,Administrative unit not available,Very low,,,,High,,,,Low,,,Original,
72786,Administrative unit not available,Administrative unit not available,Very low,,,High,High,,,Very low,Medium,Low,,Original,
72806,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Low,,,Original,
72790,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Medium,Very low,,Original,
72831,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,Very low,Medium,High,,Original,
72813,Administrative unit not available,Administrative unit not available,High,,,Medium,Medium,,,Very low,Low,Low,,Original,
72811,Administrative unit not available,Administrative unit not available,High,,,Medium,Medium,,,Very low,Low,Low,,Original,
72802,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,Very low,Low,Low,,Original,
72801,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Low,Very low,,Original,
72789,Administrative unit not available,Administrative unit not available,High,,,High,High,,,Very low,Medium,Low,,Original,
72791,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Low,Very low,,Original,
72825,Administrative unit not available,Administrative unit not available,Very low,,,,Low,,,,Low,,,Original,
72822,Administrative unit not available,Administrative unit not available,Very low,,,,Low,,,,Low,,,Original,
72828,Administrative unit not available,Administrative unit not available,Very low,,,,Medium,,,,Low,,,Original,
72836,Administrative unit not available,Administrative unit not available,Very low,,,,High,,,,Low,,,Original,
72826,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Low,Very low,,Original,
72808,Administrative unit not available,Administrative unit not available,High,,,Medium,Medium,,,,Low,Low,,Original,
72851,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,Very low,Low,High,,Original,
72815,Administrative unit not available,Administrative unit not available,High,,,Medium,Medium,,,,Low,,,Original,
72834,Administrative unit not available,Administrative unit not available,Very low,,,,High,,,,Low,,,Original,
72838,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,Very low,Low,Low,,Original,
72788,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,Very low,Medium,Very low,,Original,
72804,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,Very low,Low,Very low,,Original,
72812,Administrative unit not available,Administrative unit not available,Very low,,,,Medium,,,,Low,,,Original,
72787,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,Very low,Medium,Very low,,Original,
72849,Administrative unit not available,Administrative unit not available,Very low,,,,Medium,,,,Low,,,Original,
72833,Administrative unit not available,Administrative unit not available,Very low,,,,High,,,,Low,,,Original,
72841,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Very low,,,Very low,Medium,Very low,,Original,
72847,Administrative unit not available,Administrative unit not available,Medium,,,Medium,Low,,,Very low,High,High,,Original,
72850,Administrative unit not available,Administrative unit not available,Medium,,,,Medium,,,,Medium,,,Original,
